Timestamp,ax,ay,az,gx,gy,gz
1743666871270,-1.2139,8.7894,2.9209,-0.0328,-0.8448,0.3178
1743666871280,-1.2139,8.7894,2.9209,-0.0328,-0.8448,0.3178
1743666871290,-1.2139,8.7894,2.9209,-0.0328,-0.8448,0.3178
1743666871300,-1.2139,8.7894,2.9209,-0.0328,-0.8448,0.3178
1743666871310,-1.2139,8.7894,2.9209,-0.0328,-0.8448,0.3178
1743666871320,-1.6089,8.3417,5.5596,-0.0328,-0.8448,0.3178
1743666871330,-3.146,8.3417,5.9259,0.0893,-0.639,-0.2063
1743666871340,-3.146,8.3417,5.9259,0.0893,-0.639,-0.2063
1743666871350,-3.146,8.3417,5.9259,0.0893,-0.639,-0.2063
1743666871360,-3.146,8.3417,5.9259,0.0893,-0.639,-0.2063
1743666871370,-3.146,8.3417,5.9259,0.0893,-0.639,-0.2063
1743666871380,-1.3503,8.0807,3.7781,0.0893,-0.639,-0.2063
1743666871390,-1.6903,8.6553,4.4676,0.0869,-0.0715,0.0906
1743666871400,-1.6903,8.6553,4.4676,0.0869,-0.0715,0.0906
1743666871410,-1.6903,8.6553,4.4676,0.0869,-0.0715,0.0906
1743666871420,-1.6903,8.6553,4.4676,0.0869,-0.0715,0.0906
1743666871430,-1.6903,8.6553,4.4676,0.0869,-0.0715,0.0906
1743666871440,-2.5618,8.2244,5.5812,0.0869,-0.0715,0.0906
1743666871450,-1.9321,8.4327,4.6519,0.2659,-0.8827,0.0545
1743666871460,-1.9321,8.4327,4.6519,0.2659,-0.8827,0.0545
1743666871470,-1.9321,8.4327,4.6519,0.2659,-0.8827,0.0545
1743666871480,-1.9321,8.4327,4.6519,0.2659,-0.8827,0.0545
1743666871490,-1.9321,8.4327,4.6519,0.2659,-0.8827,0.0545
1743666871500,-1.549,8.313,4.6017,0.2659,-0.8827,0.0545
1743666871510,-1.5275,8.5021,5.3968,-0.0298,-0.3097,-0.1697
1743666871520,-1.5275,8.5021,5.3968,-0.0298,-0.3097,-0.1697
1743666871530,-1.5275,8.5021,5.3968,-0.0298,-0.3097,-0.1697
1743666871540,-1.5275,8.5021,5.3968,-0.0298,-0.3097,-0.1697
1743666871550,-1.5275,8.5021,5.3968,-0.0298,-0.3097,-0.1697
1743666871560,-2.1117,8.9594,5.5596,-0.0298,-0.3097,-0.1697
1743666871570,-1.8627,8.119,4.6687,0.1932,-0.135,-0.1129
1743666871580,-1.8627,8.119,4.6687,0.1932,-0.135,-0.1129
1743666871590,-1.8627,8.119,4.6687,0.1932,-0.135,-0.1129
1743666871600,-1.8627,8.119,4.6687,0.1932,-0.135,-0.1129
1743666871610,-1.8627,8.119,4.6687,0.1932,-0.135,-0.1129
1743666871620,-1.5634,8.2196,4.8507,0.1932,-0.135,-0.1129
1743666871630,-2.1404,7.87,5.5213,0.093,0.0061,0.0215
1743666871640,-2.1404,7.87,5.5213,0.093,0.0061,0.0215
1743666871650,-2.1404,7.87,5.5213,0.093,0.0061,0.0215
1743666871660,-2.1404,7.87,5.5213,0.093,0.0061,0.0215
1743666871670,-2.1404,7.87,5.5213,0.093,0.0061,0.0215
1743666871680,-1.9369,8.3225,4.7884,0.093,0.0061,0.0215
1743666871690,-1.6113,8.5476,4.5538,0.4247,-0.3195,0.1944
1743666871700,-1.6113,8.5476,4.5538,0.4247,-0.3195,0.1944
1743666871710,-1.6113,8.5476,4.5538,0.4247,-0.3195,0.1944
1743666871720,-1.6113,8.5476,4.5538,0.4247,-0.3195,0.1944
1743666871730,-1.6113,8.5476,4.5538,0.4247,-0.3195,0.1944
1743666871740,-1.482,8.6218,3.9552,0.4247,-0.3195,0.1944
1743666871750,-1.9058,8.6098,4.4077,0.1492,-0.2535,0.126
1743666871760,-1.9058,8.6098,4.4077,0.1492,-0.2535,0.126
1743666871770,-1.9058,8.6098,4.4077,0.1492,-0.2535,0.126
1743666871780,-1.9058,8.6098,4.4077,0.1492,-0.2535,0.126
1743666871790,-1.9058,8.6098,4.4077,0.1492,-0.2535,0.126
1743666871800,-1.5036,8.5189,4.9204,0.1492,-0.2535,0.126
1743666871810,-2.0446,9.1318,4.8219,0.3703,-0.441,0.1871
1743666871820,-2.0446,9.1318,4.8219,0.3703,-0.441,0.1871
1743666871830,-2.0446,9.1318,4.8219,0.3703,-0.441,0.1871
1743666871840,-2.0446,9.1318,4.8219,0.3703,-0.441,0.1871
1743666871850,-2.0446,9.1318,4.8219,0.3703,-0.441,0.1871
1743666871860,-1.0391,8.6529,4.2784,0.3703,-0.441,0.1871
1743666871870,-0.6536,8.4925,4.4101,0.3703,-0.441,0.1871
1743666871880,-0.6536,8.4925,4.4101,0.3905,-0.1539,0.2341
1743666871890,-0.6536,8.4925,4.4101,0.3905,-0.1539,0.2341
1743666871900,-0.6536,8.4925,4.4101,0.3905,-0.1539,0.2341
1743666871910,-0.6536,8.4925,4.4101,0.3905,-0.1539,0.2341
1743666871920,-1.2163,8.7774,4.5322,0.3905,-0.1539,0.2341
1743666871930,0.589,9.0264,2.8108,0.3905,-0.1539,0.2341
1743666871940,0.589,9.0264,2.8108,0.6636,-0.4172,0.0619
1743666871950,0.589,9.0264,2.8108,0.6636,-0.4172,0.0619
1743666871960,0.589,9.0264,2.8108,0.6636,-0.4172,0.0619
1743666871970,0.589,9.0264,2.8108,0.6636,-0.4172,0.0619
1743666871980,0.6632,8.9666,2.976,0.6636,-0.4172,0.0619
1743666871990,-2.0375,9.455,3.2633,0.6636,-0.4172,0.0619
1743666872000,-2.0375,9.455,3.2633,0.3441,-0.1503,-0.6309
1743666872010,-2.0375,9.455,3.2633,0.3441,-0.1503,-0.6309
1743666872020,-2.0375,9.455,3.2633,0.3441,-0.1503,-0.6309
1743666872030,-2.0375,9.455,3.2633,0.3441,-0.1503,-0.6309
1743666872040,-1.6783,8.3489,2.8683,0.3441,-0.1503,-0.6309
1743666872050,-1.6352,8.9235,2.7725,0.2469,-0.4044,-0.1507
1743666872060,-1.6352,8.9235,2.7725,0.2469,-0.4044,-0.1507
1743666872070,-1.6352,8.9235,2.7725,0.2469,-0.4044,-0.1507
1743666872080,-1.6352,8.9235,2.7725,0.2469,-0.4044,-0.1507
1743666872090,-1.6352,8.9235,2.7725,0.2469,-0.4044,-0.1507
1743666872100,-2.1189,9.2754,1.4389,0.2469,-0.4044,-0.1507
1743666872110,-0.4046,9.1342,3.067,-0.8325,0.5864,0.0783
1743666872120,-0.4046,9.1342,3.067,-0.8325,0.5864,0.0783
1743666872130,-0.4046,9.1342,3.067,-0.8325,0.5864,0.0783
1743666872140,-0.4046,9.1342,3.067,-0.8325,0.5864,0.0783
1743666872150,-0.4046,9.1342,3.067,-0.8325,0.5864,0.0783
1743666872160,-1.0223,8.811,5.0545,-0.8325,0.5864,0.0783
1743666872170,0.1676,10.5731,4.7597,-0.8325,0.5864,0.0783
1743666872180,0.1676,10.5731,4.7597,-0.4525,0.3036,-0.4323
1743666872190,0.1676,10.5731,4.7597,-0.4525,0.3036,-0.4323
1743666872200,0.1676,10.5731,4.7597,-0.4525,0.3036,-0.4323
1743666872210,0.1676,10.5731,4.7597,-0.4525,0.3036,-0.4323
1743666872220,-0.158,8.3441,8.7703,-0.4525,0.3036,-0.4323
1743666872230,-2.6959,8.4877,2.1883,-0.4525,0.3036,-0.4323
1743666872240,-2.6959,8.4877,2.1883,0.8499,-0.1729,-0.4983
1743666872250,-2.6959,8.4877,2.1883,0.8499,-0.1729,-0.4983
1743666872260,-2.6959,8.4877,2.1883,0.8499,-0.1729,-0.4983
1743666872270,-2.6959,8.4877,2.1883,0.8499,-0.1729,-0.4983
1743666872280,-1.1037,9.3664,2.4277,0.8499,-0.1729,-0.4983
