Timestamp,TimeString,SensorType,X,Y,Z,Interval(ms)
1743667145777,2025-04-03 16:59:05.777,ACCELEROMETER,-1.1301,6.7208,7.4918,52
1743667145783,2025-04-03 16:59:05.783,ACCELEROMETER,-1.5945,6.1917,7.9778,6
1743667145788,2025-04-03 16:59:05.788,ACCELEROMETER,-0.8116,7.0800,10.0943,5
1743667145805,2025-04-03 16:59:05.805,GYROSCOPE,1.1944,-1.5168,-0.2381,56
1743667145836,2025-04-03 16:59:05.836,ACCELEROMETER,1.1684,6.4168,9.9937,48
1743667145840,2025-04-03 16:59:05.840,ACCELEROMETER,1.3384,7.0225,8.3130,4
1743667145844,2025-04-03 16:59:05.844,ACCELEROMETER,-0.0287,7.4511,8.1023,4
1743667145866,2025-04-03 16:59:05.866,GYROSCOPE,1.2146,-2.2254,-0.7775,61
1743667145903,2025-04-03 16:59:05.903,ACCELEROMETER,-0.4621,6.7352,6.5820,59
1743667145909,2025-04-03 16:59:05.909,ACCELEROMETER,-0.5411,6.8429,5.2244,6
1743667145914,2025-04-03 16:59:05.914,ACCELEROMETER,-0.9218,7.3002,6.6897,5
1743667145925,2025-04-03 16:59:05.925,GYROSCOPE,0.3160,-0.5846,-0.0041,59
1743667145955,2025-04-03 16:59:05.955,ACCELEROMETER,-0.7853,6.1295,5.7536,41
1743667145963,2025-04-03 16:59:05.963,ACCELEROMETER,0.0311,5.8086,3.6009,8
1743667145967,2025-04-03 16:59:05.967,ACCELEROMETER,1.4820,7.5803,6.3378,4
1743667145985,2025-04-03 16:59:05.985,GYROSCOPE,0.1840,0.2010,-0.1086,60
1743667146019,2025-04-03 16:59:06.019,ACCELEROMETER,0.7829,6.6969,7.5923,52
1743667146026,2025-04-03 16:59:06.026,ACCELEROMETER,0.2227,5.8637,7.4175,7
1743667146031,2025-04-03 16:59:06.031,ACCELEROMETER,0.1724,6.7591,6.5317,5
1743667146047,2025-04-03 16:59:06.047,GYROSCOPE,0.6660,-0.4636,-0.0402,62
1743667146075,2025-04-03 16:59:06.075,ACCELEROMETER,0.6752,7.3505,7.2308,44
1743667146081,2025-04-03 16:59:06.081,ACCELEROMETER,1.6951,6.5963,6.3425,6
1743667146086,2025-04-03 16:59:06.086,ACCELEROMETER,1.1229,7.5971,4.2234,5
1743667146105,2025-04-03 16:59:06.105,GYROSCOPE,-0.4885,1.1887,0.0667,58
1743667146135,2025-04-03 16:59:06.135,ACCELEROMETER,0.0455,8.9762,2.5474,49
1743667146141,2025-04-03 16:59:06.141,ACCELEROMETER,-0.2035,8.2076,3.6919,6
1743667146146,2025-04-03 16:59:06.146,ACCELEROMETER,-0.1820,7.8533,5.4902,5
1743667146165,2025-04-03 16:59:06.165,GYROSCOPE,-0.1092,0.1820,0.0252,60
1743667146198,2025-04-03 16:59:06.198,ACCELEROMETER,1.1396,7.7120,7.1973,52
1743667146204,2025-04-03 16:59:06.204,ACCELEROMETER,1.3048,7.5013,6.7065,6
1743667146210,2025-04-03 16:59:06.210,ACCELEROMETER,0.4334,7.5061,6.4407,6
1743667146225,2025-04-03 16:59:06.225,GYROSCOPE,0.2757,-0.9334,-0.0976,60
1743667146255,2025-04-03 16:59:06.255,ACCELEROMETER,1.0774,7.6474,6.7926,45
1743667146262,2025-04-03 16:59:06.262,ACCELEROMETER,0.9170,7.1111,6.1223,7
1743667146267,2025-04-03 16:59:06.267,ACCELEROMETER,0.1125,7.3266,6.3042,5
1743667146285,2025-04-03 16:59:06.285,GYROSCOPE,0.5567,0.2242,0.2146,60
1743667146318,2025-04-03 16:59:06.318,ACCELEROMETER,-0.0168,7.4726,8.0783,51
1743667146322,2025-04-03 16:59:06.322,ACCELEROMETER,1.2737,7.5779,8.9474,4
1743667146327,2025-04-03 16:59:06.327,ACCELEROMETER,2.5905,8.1933,7.8006,5
1743667146349,2025-04-03 16:59:06.349,GYROSCOPE,1.0802,-0.7153,-0.4470,64
1743667146374,2025-04-03 16:59:06.374,ACCELEROMETER,2.4373,7.1901,5.7392,47
1743667146380,2025-04-03 16:59:06.380,ACCELEROMETER,-1.9585,9.1102,4.0199,6
1743667146385,2025-04-03 16:59:06.385,ACCELEROMETER,0.1724,7.6234,3.9887,5
1743667146405,2025-04-03 16:59:06.405,GYROSCOPE,-0.0658,0.4875,0.1107,56
1743667146436,2025-04-03 16:59:06.436,ACCELEROMETER,-0.0527,8.3106,3.7924,51
1743667146442,2025-04-03 16:59:06.442,ACCELEROMETER,0.6823,8.3848,2.9928,6
1743667146447,2025-04-03 16:59:06.447,ACCELEROMETER,0.4381,8.5955,2.4565,5
1743667146465,2025-04-03 16:59:06.465,GYROSCOPE,-0.3047,-0.2615,-0.4226,60
1743667146495,2025-04-03 16:59:06.495,ACCELEROMETER,0.9888,9.2826,5.6434,48
1743667146502,2025-04-03 16:59:06.502,ACCELEROMETER,2.4780,5.8565,8.2316,7
1743667146508,2025-04-03 16:59:06.508,ACCELEROMETER,-3.2370,8.0041,5.2819,6
1743667146525,2025-04-03 16:59:06.525,GYROSCOPE,0.0044,-0.2834,0.1290,60
1743667146554,2025-04-03 16:59:06.554,ACCELEROMETER,-0.6776,7.1925,6.4120,46
1743667146563,2025-04-03 16:59:06.563,ACCELEROMETER,1.1851,7.6785,6.4886,9
1743667146569,2025-04-03 16:59:06.569,ACCELEROMETER,1.4653,7.7312,6.1845,6
1743667146586,2025-04-03 16:59:06.586,GYROSCOPE,-0.1287,0.2340,-0.2240,61
1743667146616,2025-04-03 16:59:06.616,ACCELEROMETER,0.9002,7.6522,6.2875,47
1743667146624,2025-04-03 16:59:06.624,ACCELEROMETER,0.3136,7.8150,7.2859,8
1743667146631,2025-04-03 16:59:06.631,ACCELEROMETER,0.1269,7.6258,7.6258,7
1743667146649,2025-04-03 16:59:06.649,GYROSCOPE,0.5475,-0.3164,-0.1465,63
1743667146675,2025-04-03 16:59:06.675,ACCELEROMETER,-0.0886,8.0951,6.8932,44
1743667146682,2025-04-03 16:59:06.682,ACCELEROMETER,0.6129,8.2890,5.6530,7
