Timestamp,TimeString,SensorType,X,Y,Z,Interval(ms)
1743568971811,2025-04-02 13:42:51.811,GYROSCOPE,-0.0363,0.0239,-0.0016,177
1743568971813,2025-04-02 13:42:51.813,ACCELEROMETER,0.2904,6.4591,7.7641,185
1743568971814,2025-04-02 13:42:51.814,ACCELEROMETER,0.1825,6.5076,7.4106,1
1743568971815,2025-04-02 13:42:51.815,GYROSCOPE,0.0020,0.0079,-0.0086,4
1743568971830,2025-04-02 13:42:51.830,ACCELEROMETER,0.2127,6.4639,7.4623,16
1743568971831,2025-04-02 13:42:51.831,GYROSCOPE,0.0147,-0.0050,-0.0095,16
1743568971894,2025-04-02 13:42:51.894,ACCELEROMETER,0.1741,6.5106,7.3648,64
1743568971898,2025-04-02 13:42:51.898,GYROSCOPE,-0.0201,-0.0089,-0.0146,67
1743568971959,2025-04-02 13:42:51.959,ACCELEROMETER,0.1600,6.4409,7.6573,65
1743568971962,2025-04-02 13:42:51.962,GYROSCOPE,-0.0286,-0.0292,-0.0049,64
1743568972026,2025-04-02 13:42:52.026,ACCELEROMETER,0.1920,6.4618,7.5676,67
1743568972033,2025-04-02 13:42:52.033,GYROSCOPE,0.0279,0.0111,0.0018,71
1743568972093,2025-04-02 13:42:52.093,ACCELEROMETER,0.2551,6.5213,7.2302,67
1743568972095,2025-04-02 13:42:52.095,GYROSCOPE,0.0037,-0.0063,0.0073,62
1743568972160,2025-04-02 13:42:52.160,ACCELEROMETER,0.2339,6.4777,7.5206,67
1743568972163,2025-04-02 13:42:52.163,GYROSCOPE,-0.0706,0.0146,-0.0031,68
1743568972228,2025-04-02 13:42:52.228,ACCELEROMETER,0.1935,6.4424,7.6926,68
1743568972233,2025-04-02 13:42:52.233,GYROSCOPE,0.0018,-0.0050,-0.0020,70
1743568972294,2025-04-02 13:42:52.294,GYROSCOPE,0.0082,0.0066,0.0082,61
1743568972299,2025-04-02 13:42:52.299,ACCELEROMETER,0.1956,6.4555,7.4901,71
1743568972360,2025-04-02 13:42:52.360,ACCELEROMETER,0.2186,6.4681,7.4689,61
1743568972362,2025-04-02 13:42:52.362,GYROSCOPE,-0.0060,0.0013,0.0067,68
