Timestamp,TimeString,SensorType,X,Y,Z,Interval(ms)
1743666520027,2025-04-03 16:48:40.027,ACCELEROMETER,-1.0822,8.9977,3.9648,44
1743666520035,2025-04-03 16:48:40.035,ACCELEROMETER,-0.5219,8.8277,1.7047,8
1743666520039,2025-04-03 16:48:40.039,ACCELEROMETER,-0.7207,8.8349,1.0558,4
1743666520042,2025-04-03 16:48:40.042,GYROSCOPE,-0.2618,-0.2211,0.0372,55
1743666520087,2025-04-03 16:48:40.087,ACCELEROMETER,-1.2785,9.2060,2.0279,48
1743666520092,2025-04-03 16:48:40.092,ACCELEROMETER,-1.3838,8.7774,3.3662,5
1743666520097,2025-04-03 16:48:40.097,ACCELEROMETER,-0.2011,8.6817,5.0497,5
1743666520102,2025-04-03 16:48:40.102,GYROSCOPE,-0.9789,-0.5289,0.1099,60
1743666520147,2025-04-03 16:48:40.147,ACCELEROMETER,0.6057,8.0185,6.4694,50
1743666520154,2025-04-03 16:48:40.154,ACCELEROMETER,1.2402,7.7336,6.0385,7
1743666520158,2025-04-03 16:48:40.158,ACCELEROMETER,0.7829,8.8828,6.4575,4
1743666520163,2025-04-03 16:48:40.163,GYROSCOPE,-0.0339,-0.2626,-0.3318,61
1743666520207,2025-04-03 16:48:40.207,ACCELEROMETER,0.3089,8.3992,5.6889,49
1743666520213,2025-04-03 16:48:40.213,ACCELEROMETER,-0.9409,8.6889,4.5753,6
1743666520218,2025-04-03 16:48:40.218,ACCELEROMETER,-1.8316,9.1031,4.3862,5
1743666520222,2025-04-03 16:48:40.222,GYROSCOPE,0.3607,-0.5412,-0.3770,59
1743666520267,2025-04-03 16:48:40.267,ACCELEROMETER,-2.4732,7.9060,4.5801,49
1743666520273,2025-04-03 16:48:40.273,ACCELEROMETER,-1.1612,7.4319,3.4261,6
1743666520279,2025-04-03 16:48:40.279,ACCELEROMETER,-0.7111,9.1438,2.8204,6
1743666520285,2025-04-03 16:48:40.285,GYROSCOPE,-0.1799,-0.8435,0.2711,63
1743666520328,2025-04-03 16:48:40.328,ACCELEROMETER,0.2179,9.9123,4.0462,49
1743666520334,2025-04-03 16:48:40.334,ACCELEROMETER,0.3089,8.9953,5.1885,6
1743666520342,2025-04-03 16:48:40.342,ACCELEROMETER,0.0383,8.3752,4.8243,8
1743666520349,2025-04-03 16:48:40.349,GYROSCOPE,-0.3522,-0.0903,0.0152,64
1743666520387,2025-04-03 16:48:40.387,ACCELEROMETER,0.0407,8.9091,4.5777,45
1743666520394,2025-04-03 16:48:40.394,ACCELEROMETER,0.2179,8.9259,4.8842,7
1743666520400,2025-04-03 16:48:40.400,ACCELEROMETER,-0.1437,8.2459,5.4280,6
1743666520406,2025-04-03 16:48:40.406,GYROSCOPE,-0.4236,0.3477,-0.1980,57
1743666520448,2025-04-03 16:48:40.448,ACCELEROMETER,-0.9218,8.0640,5.2005,48
1743666520455,2025-04-03 16:48:40.455,ACCELEROMETER,-1.7190,8.1765,5.5070,7
1743666520460,2025-04-03 16:48:40.460,ACCELEROMETER,-0.7614,8.2459,5.2556,5
1743666520465,2025-04-03 16:48:40.465,GYROSCOPE,-0.3063,0.1106,0.0274,59
1743666520507,2025-04-03 16:48:40.507,ACCELEROMETER,-0.0958,8.2675,5.8805,47
1743666520515,2025-04-03 16:48:40.515,ACCELEROMETER,-0.4956,8.1669,6.1630,8
1743666520520,2025-04-03 16:48:40.520,ACCELEROMETER,-0.7446,8.4087,5.6458,5
1743666520525,2025-04-03 16:48:40.525,GYROSCOPE,-0.0144,-0.0964,-0.0722,60
1743666520570,2025-04-03 16:48:40.570,ACCELEROMETER,-0.4525,8.4853,5.1837,50
1743666520578,2025-04-03 16:48:40.578,ACCELEROMETER,-1.1923,8.4327,5.0401,8
1743666520583,2025-04-03 16:48:40.583,ACCELEROMETER,-1.4413,8.2938,5.3202,5
1743666520588,2025-04-03 16:48:40.588,GYROSCOPE,-0.0651,-0.0867,0.0885,63
1743666520627,2025-04-03 16:48:40.627,ACCELEROMETER,-0.9792,8.3800,5.9355,44
1743666520635,2025-04-03 16:48:40.635,ACCELEROMETER,0.2538,8.6098,5.8565,8
1743666520640,2025-04-03 16:48:40.640,ACCELEROMETER,0.4501,8.6122,5.5429,5
1743666520645,2025-04-03 16:48:40.645,GYROSCOPE,0.1891,-0.2333,0.1282,57
1743666520690,2025-04-03 16:48:40.690,ACCELEROMETER,-0.0551,8.2771,6.2779,50
1743666520696,2025-04-03 16:48:40.696,ACCELEROMETER,-0.0168,8.3393,5.9068,6
1743666520701,2025-04-03 16:48:40.701,ACCELEROMETER,-0.4669,8.1885,5.9523,5
1743666520706,2025-04-03 16:48:40.706,GYROSCOPE,0.5348,-0.4281,-0.0208,61
1743666520750,2025-04-03 16:48:40.750,ACCELEROMETER,-0.4262,8.2028,6.7639,49
1743666520757,2025-04-03 16:48:40.757,ACCELEROMETER,-0.0192,8.4997,5.5118,7
1743666520763,2025-04-03 16:48:40.763,ACCELEROMETER,0.3112,8.7535,2.3655,6
1743666520768,2025-04-03 16:48:40.768,GYROSCOPE,0.9142,-0.4685,-0.0123,62
1743666520810,2025-04-03 16:48:40.810,GYROSCOPE,-1.7553,-0.1313,0.1068,42
1743666520815,2025-04-03 16:48:40.815,ACCELEROMETER,1.2426,8.2172,-4.4053,52
1743666520821,2025-04-03 16:48:40.821,ACCELEROMETER,-2.1691,9.6489,2.8683,6
1743666520826,2025-04-03 16:48:40.826,ACCELEROMETER,-1.3934,7.8892,10.4247,5
1743666520868,2025-04-03 16:48:40.868,ACCELEROMETER,0.5722,7.3792,9.2826,42
1743666520875,2025-04-03 16:48:40.875,ACCELEROMETER,0.0215,8.0041,7.9275,7
1743666520880,2025-04-03 16:48:40.880,ACCELEROMETER,-0.3711,8.2340,5.7991,5
1743666520885,2025-04-03 16:48:40.885,GYROSCOPE,0.6222,0.0123,-0.0398,75
1743666520927,2025-04-03 16:48:40.927,ACCELEROMETER,-0.2490,8.3800,4.4221,47
1743666520935,2025-04-03 16:48:40.935,ACCELEROMETER,-0.2634,8.5093,3.6823,8
1743666520940,2025-04-03 16:48:40.940,ACCELEROMETER,-0.8212,8.5500,3.9217,5
1743666520945,2025-04-03 16:48:40.945,GYROSCOPE,0.0602,0.2511,0.0372,60
1743666520989,2025-04-03 16:48:40.989,ACCELEROMETER,-0.4429,8.6386,4.9731,49
1743666520996,2025-04-03 16:48:40.996,ACCELEROMETER,0.2562,8.2435,4.9587,7
1743666521001,2025-04-03 16:48:41.001,ACCELEROMETER,-0.1652,8.3225,4.8818,5
1743666521006,2025-04-03 16:48:41.006,GYROSCOPE,-0.0754,0.1497,-0.0856,61
1743666521049,2025-04-03 16:48:41.049,ACCELEROMETER,-0.3232,8.3752,4.7166,48
1743666521057,2025-04-03 16:48:41.057,ACCELEROMETER,-0.3998,8.1789,4.5418,8
1743666521063,2025-04-03 16:48:41.063,ACCELEROMETER,-0.7302,8.1286,4.8818,6
1743666521068,2025-04-03 16:48:41.068,GYROSCOPE,-0.2801,0.3831,-0.1174,62
1743666521109,2025-04-03 16:48:41.109,ACCELEROMETER,-1.1875,8.4111,5.4854,46
1743666521117,2025-04-03 16:48:41.117,ACCELEROMETER,-0.1676,8.4542,5.1502,8
1743666521122,2025-04-03 16:48:41.122,ACCELEROMETER,0.0192,8.5356,5.0162,5
1743666521127,2025-04-03 16:48:41.127,GYROSCOPE,-0.2764,0.1870,-0.0422,59
1743666521168,2025-04-03 16:48:41.168,ACCELEROMETER,-0.8068,8.1933,5.7775,46
1743666521175,2025-04-03 16:48:41.175,ACCELEROMETER,-1.2139,7.8389,6.1247,7
1743666521180,2025-04-03 16:48:41.180,ACCELEROMETER,-2.2362,8.3752,7.6570,5
1743666521184,2025-04-03 16:48:41.184,GYROSCOPE,-0.0382,-0.1105,0.1068,57
1743666521233,2025-04-03 16:48:41.233,ACCELEROMETER,-0.1772,8.0879,7.5995,53
1743666521243,2025-04-03 16:48:41.243,ACCELEROMETER,0.2418,8.4542,6.7519,10
1743666521249,2025-04-03 16:48:41.249,ACCELEROMETER,0.5076,8.5021,6.3904,6
1743666521254,2025-04-03 16:48:41.254,GYROSCOPE,0.8732,-0.5735,0.1478,70
1743666521289,2025-04-03 16:48:41.289,ACCELEROMETER,0.3017,8.4686,5.5213,40
1743666521298,2025-04-03 16:48:41.298,ACCELEROMETER,0.0192,8.4997,5.7488,9
1743666521304,2025-04-03 16:48:41.304,ACCELEROMETER,-0.2394,8.2771,0.0455,6
1743666521309,2025-04-03 16:48:41.309,GYROSCOPE,0.8317,-0.0964,0.0396,55
1743666521348,2025-04-03 16:48:41.348,ACCELEROMETER,4.3838,8.3656,-6.3808,44
1743666521355,2025-04-03 16:48:41.355,ACCELEROMETER,-6.2803,10.8436,14.1405,7
