Timestamp,TimeString,SensorType,X,Y,Z,Interval(ms)
1743568980103,2025-04-02 13:43:00.103,GYROSCOPE,0.0338,-0.0240,-0.0258,65
1743568980105,2025-04-02 13:43:00.105,ACCELEROMETER,0.6514,6.6123,7.5867,60
1743568980171,2025-04-02 13:43:00.171,ACCELEROMETER,0.6652,6.5752,7.2332,66
1743568980177,2025-04-02 13:43:00.177,GYROSCOPE,-0.0281,0.0363,0.0131,74
1743568980237,2025-04-02 13:43:00.237,ACCELEROMETER,0.6921,6.6275,7.2849,66
1743568980242,2025-04-02 13:43:00.242,GYROSCOPE,0.0075,-0.0189,-0.0120,65
1743568980304,2025-04-02 13:43:00.304,ACCELEROMETER,0.6978,6.6015,7.4662,67
1743568980307,2025-04-02 13:43:00.307,GYROSCOPE,-0.0180,-0.0047,-0.0011,65
1743568980371,2025-04-02 13:43:00.371,ACCELEROMETER,0.6302,6.6242,7.4231,67
1743568980378,2025-04-02 13:43:00.378,GYROSCOPE,0.0019,-0.0313,-0.0045,71
1743568980438,2025-04-02 13:43:00.438,GYROSCOPE,0.0368,-0.0710,-0.0331,60
1743568980445,2025-04-02 13:43:00.445,ACCELEROMETER,0.7944,6.6440,7.2661,74
1743568980504,2025-04-02 13:43:00.504,GYROSCOPE,-0.0118,-0.0717,-0.0492,66
1743568980507,2025-04-02 13:43:00.507,ACCELEROMETER,0.7481,6.6655,7.1686,62
1743568980573,2025-04-02 13:43:00.573,ACCELEROMETER,0.7172,6.6266,7.3780,66
1743568980577,2025-04-02 13:43:00.577,GYROSCOPE,-0.0577,0.0271,-0.0157,73
1743568980638,2025-04-02 13:43:00.638,ACCELEROMETER,0.6921,6.5964,7.4007,65
1743568980641,2025-04-02 13:43:00.641,GYROSCOPE,-0.0175,0.0002,-0.0157,64
1743568980703,2025-04-02 13:43:00.703,ACCELEROMETER,0.6834,6.6072,7.3995,65
1743568980707,2025-04-02 13:43:00.707,GYROSCOPE,-0.0132,0.0221,0.0052,66
1743568980772,2025-04-02 13:43:00.772,ACCELEROMETER,0.7080,6.5949,7.2933,69
1743568980775,2025-04-02 13:43:00.775,GYROSCOPE,-0.0101,0.0062,0.0108,68
1743568980841,2025-04-02 13:43:00.841,ACCELEROMETER,0.7905,6.6000,7.4839,69
1743568980845,2025-04-02 13:43:00.845,GYROSCOPE,-0.0305,0.0197,-0.0111,70
1743568980905,2025-04-02 13:43:00.905,ACCELEROMETER,0.6278,6.5569,7.3549,64
1743568980908,2025-04-02 13:43:00.908,GYROSCOPE,0.0135,-0.0008,-0.0103,63
1743568980972,2025-04-02 13:43:00.972,ACCELEROMETER,0.6544,6.5614,7.3633,67
1743568980976,2025-04-02 13:43:00.976,GYROSCOPE,-0.0210,-0.0035,0.0035,68
1743568981039,2025-04-02 13:43:01.039,ACCELEROMETER,0.6793,6.5791,7.4037,67
1743568981042,2025-04-02 13:43:01.042,GYROSCOPE,-0.0017,0.0046,-0.0024,66
1743568981106,2025-04-02 13:43:01.106,GYROSCOPE,-0.0094,-0.0039,-0.0005,64
1743568981110,2025-04-02 13:43:01.110,ACCELEROMETER,0.6673,6.5809,7.3699,71
1743568981175,2025-04-02 13:43:01.175,ACCELEROMETER,0.7433,6.5788,7.4815,65
1743568981179,2025-04-02 13:43:01.179,GYROSCOPE,-0.0069,-0.0253,0.0001,73
1743568981239,2025-04-02 13:43:01.239,ACCELEROMETER,0.6739,6.5515,7.3537,64
1743568981242,2025-04-02 13:43:01.242,GYROSCOPE,0.0283,-0.0190,-0.0035,63
1743568981307,2025-04-02 13:43:01.307,GYROSCOPE,-0.0145,0.0093,0.0052,65
1743568981311,2025-04-02 13:43:01.311,ACCELEROMETER,0.6903,6.5865,7.3388,72
1743568981373,2025-04-02 13:43:01.373,ACCELEROMETER,0.7295,6.5809,7.4297,62
1743568981377,2025-04-02 13:43:01.377,GYROSCOPE,0.0096,-0.0064,-0.0017,70
1743568981439,2025-04-02 13:43:01.439,GYROSCOPE,0.0218,-0.0130,0.0074,62
1743568981443,2025-04-02 13:43:01.443,ACCELEROMETER,0.6724,6.5785,7.3588,70
1743568981508,2025-04-02 13:43:01.508,GYROSCOPE,0.0023,0.0074,0.0137,69
1743568981513,2025-04-02 13:43:01.513,ACCELEROMETER,0.7187,6.5842,7.3956,70
1743568981574,2025-04-02 13:43:01.574,GYROSCOPE,0.0142,0.0073,0.0171,66
1743568981578,2025-04-02 13:43:01.578,ACCELEROMETER,0.7331,6.5907,7.3774,65
1743568981643,2025-04-02 13:43:01.643,ACCELEROMETER,0.7235,6.5979,7.4004,65
1743568981648,2025-04-02 13:43:01.648,GYROSCOPE,0.0185,0.0285,0.0189,74
1743568981711,2025-04-02 13:43:01.711,GYROSCOPE,0.0396,0.0252,0.0138,63
1743568981716,2025-04-02 13:43:01.716,ACCELEROMETER,0.7208,6.6036,7.3765,73
1743568981775,2025-04-02 13:43:01.775,ACCELEROMETER,0.7259,6.6147,7.4512,59
1743568981780,2025-04-02 13:43:01.780,GYROSCOPE,0.0492,0.0145,0.0150,69
1743568981841,2025-04-02 13:43:01.841,ACCELEROMETER,0.7403,6.6748,7.2888,66
1743568981846,2025-04-02 13:43:01.846,GYROSCOPE,0.0905,-0.0319,-0.0213,66
1743568981911,2025-04-02 13:43:01.911,ACCELEROMETER,0.6957,6.7337,7.1483,70
1743568981916,2025-04-02 13:43:01.916,GYROSCOPE,0.0946,-0.0851,-0.0421,70
1743568981976,2025-04-02 13:43:01.976,ACCELEROMETER,0.8040,6.7645,7.2464,65
1743568981980,2025-04-02 13:43:01.980,GYROSCOPE,0.0762,-0.0583,-0.0586,64
1743568982042,2025-04-02 13:43:02.042,ACCELEROMETER,0.8216,6.7636,6.7400,66
1743568982046,2025-04-02 13:43:02.046,GYROSCOPE,-0.0568,0.1615,-0.0313,66
1743568982107,2025-04-02 13:43:02.107,ACCELEROMETER,0.4265,6.7508,7.0789,65
1743568982110,2025-04-02 13:43:02.110,GYROSCOPE,-0.2795,0.5269,-0.0077,64
1743568982175,2025-04-02 13:43:02.175,ACCELEROMETER,0.3568,6.7804,6.0380,68
1743568982179,2025-04-02 13:43:02.179,GYROSCOPE,0.0573,0.7762,-0.0776,69
1743568982241,2025-04-02 13:43:02.241,ACCELEROMETER,-0.7935,6.4071,6.8297,66
1743568982246,2025-04-02 13:43:02.246,GYROSCOPE,-0.6237,1.2430,0.0208,67
1743568982311,2025-04-02 13:43:02.311,GYROSCOPE,-0.2915,0.9488,-0.3403,65
1743568982316,2025-04-02 13:43:02.316,ACCELEROMETER,0.3790,6.0912,9.8258,75
1743568982377,2025-04-02 13:43:02.377,ACCELEROMETER,-3.3712,5.9507,8.7754,61
1743568982381,2025-04-02 13:43:02.381,GYROSCOPE,0.2937,-0.1074,-0.3426,70
1743568982441,2025-04-02 13:43:02.441,GYROSCOPE,0.3049,-0.2989,0.2532,60
1743568982445,2025-04-02 13:43:02.445,ACCELEROMETER,-0.8803,6.1567,7.5966,68
1743568982509,2025-04-02 13:43:02.509,ACCELEROMETER,-1.0322,6.5551,7.5535,64
1743568982513,2025-04-02 13:43:02.513,GYROSCOPE,0.3328,-0.3300,0.0764,72
1743568982576,2025-04-02 13:43:02.576,ACCELEROMETER,-1.2045,6.5285,6.3003,67
1743568982580,2025-04-02 13:43:02.580,GYROSCOPE,0.3923,-0.6547,0.1920,67
1743568982641,2025-04-02 13:43:02.641,GYROSCOPE,-0.3762,-0.0767,0.5206,61
1743568982645,2025-04-02 13:43:02.645,ACCELEROMETER,-0.5859,6.6685,6.6072,69
1743568982709,2025-04-02 13:43:02.709,ACCELEROMETER,0.5189,6.5925,8.4320,64
1743568982714,2025-04-02 13:43:02.714,GYROSCOPE,0.0050,-0.2585,0.2259,73
1743568982776,2025-04-02 13:43:02.776,ACCELEROMETER,0.3072,6.9051,6.8815,67
1743568982780,2025-04-02 13:43:02.780,GYROSCOPE,0.1717,-0.1074,0.0954,66
1743568982842,2025-04-02 13:43:02.842,ACCELEROMETER,0.3867,6.8390,7.1928,66
1743568982847,2025-04-02 13:43:02.847,GYROSCOPE,-0.0015,0.0151,0.0428,67
1743568982911,2025-04-02 13:43:02.911,ACCELEROMETER,0.1591,6.7711,7.0705,69
1743568982916,2025-04-02 13:43:02.916,GYROSCOPE,-0.0224,-0.0259,0.0069,69
1743568982977,2025-04-02 13:43:02.977,ACCELEROMETER,0.1035,6.7316,7.0591,66
1743568982986,2025-04-02 13:43:02.986,GYROSCOPE,0.0037,-0.0522,-0.0163,70
1743568983041,2025-04-02 13:43:03.041,GYROSCOPE,-0.0279,-0.0528,0.0021,55
1743568983043,2025-04-02 13:43:03.043,ACCELEROMETER,0.0628,6.6482,7.4055,66
1743568983111,2025-04-02 13:43:03.111,GYROSCOPE,0.0233,-0.0775,0.0334,70
1743568983116,2025-04-02 13:43:03.116,ACCELEROMETER,0.2246,6.7256,7.2194,73
1743568983177,2025-04-02 13:43:03.177,ACCELEROMETER,0.3203,6.7505,7.2748,61
1743568983182,2025-04-02 13:43:03.182,GYROSCOPE,-0.0072,-0.0654,-0.0031,71
1743568983243,2025-04-02 13:43:03.243,ACCELEROMETER,0.2593,6.6987,7.3361,66
1743568983247,2025-04-02 13:43:03.247,GYROSCOPE,0.0375,-0.1814,-0.0093,65
1743568983313,2025-04-02 13:43:03.313,ACCELEROMETER,0.3799,6.7322,7.2368,70
1743568983318,2025-04-02 13:43:03.318,GYROSCOPE,0.0224,-0.0648,0.0100,71
