Timestamp,TimeString,SensorType,X,Y,Z,Interval(ms)
1743667295636,2025-04-03 17:01:35.636,GYROSCOPE,-0.0389,0.0324,0.1388,79
1743667295656,2025-04-03 17:01:35.656,ACCELEROMETER,-1.5251,8.5117,5.0904,50
1743667295661,2025-04-03 17:01:35.661,ACCELEROMETER,-1.4485,8.5500,4.9180,5
1743667295665,2025-04-03 17:01:35.665,ACCELEROMETER,-1.5036,8.5955,4.4269,4
1743667295680,2025-04-03 17:01:35.680,GYROSCOPE,0.1761,-0.5070,0.0063,44
1743667295717,2025-04-03 17:01:35.717,ACCELEROMETER,-1.5179,8.6529,4.4819,52
1743667295723,2025-04-03 17:01:35.723,ACCELEROMETER,-1.3743,8.5596,4.6352,6
1743667295728,2025-04-03 17:01:35.728,ACCELEROMETER,-1.3144,8.5117,4.7669,5
1743667295737,2025-04-03 17:01:35.737,GYROSCOPE,0.0906,-0.2492,-0.0298,57
1743667295778,2025-04-03 17:01:35.778,ACCELEROMETER,-1.4796,8.6218,4.8267,50
1743667295784,2025-04-03 17:01:35.784,ACCELEROMETER,-1.6807,8.6003,4.8435,6
1743667295790,2025-04-03 17:01:35.790,ACCELEROMETER,-1.4940,8.5572,4.8243,6
1743667295799,2025-04-03 17:01:35.799,GYROSCOPE,0.1376,-0.4337,0.0093,62
1743667295838,2025-04-03 17:01:35.838,ACCELEROMETER,-1.1564,8.5763,4.6328,48
1743667295844,2025-04-03 17:01:35.844,ACCELEROMETER,-1.0630,8.4518,4.3742,6
1743667295849,2025-04-03 17:01:35.849,ACCELEROMETER,-1.2163,8.8253,4.4748,5
1743667295857,2025-04-03 17:01:35.857,GYROSCOPE,0.0380,-0.5327,-0.1116,58
1743667295897,2025-04-03 17:01:35.897,ACCELEROMETER,-0.8930,8.7774,4.2928,48
1743667295904,2025-04-03 17:01:35.904,ACCELEROMETER,-0.7757,8.7870,4.2569,7
1743667295910,2025-04-03 17:01:35.910,ACCELEROMETER,-0.9098,8.7056,4.8052,6
1743667295918,2025-04-03 17:01:35.918,GYROSCOPE,-0.0744,-0.5504,-0.4024,61
1743667295956,2025-04-03 17:01:35.956,ACCELEROMETER,-1.3336,8.5763,5.4088,46
1743667295963,2025-04-03 17:01:35.963,ACCELEROMETER,-1.4437,8.6769,5.3106,7
1743667295969,2025-04-03 17:01:35.969,ACCELEROMETER,-1.0487,8.3680,5.1071,6
1743667295977,2025-04-03 17:01:35.977,GYROSCOPE,0.1791,-0.6787,-0.5008,59
1743667296017,2025-04-03 17:01:36.017,ACCELEROMETER,-1.3216,8.1837,5.1478,48
1743667296023,2025-04-03 17:01:36.023,ACCELEROMETER,-1.6089,8.3776,5.3274,6
1743667296028,2025-04-03 17:01:36.028,ACCELEROMETER,-1.2761,8.1334,5.7177,5
1743667296036,2025-04-03 17:01:36.036,GYROSCOPE,0.7411,-0.5247,-0.5857,59
1743667296077,2025-04-03 17:01:36.077,ACCELEROMETER,-1.6640,8.2483,6.0193,49
1743667296083,2025-04-03 17:01:36.083,ACCELEROMETER,-2.0542,8.3537,5.2221,6
1743667296088,2025-04-03 17:01:36.088,ACCELEROMETER,-1.9752,8.3896,4.5179,5
