Timestamp,TimeString,SensorType,X,Y,Z,Interval(ms)
1743667429734,2025-04-03 17:03:49.734,GYROSCOPE,0.7069,-3.3610,0.7601,84
1743667429750,2025-04-03 17:03:49.750,ACCELEROMETER,-1.3982,5.3178,8.6051,51
1743667429754,2025-04-03 17:03:49.754,ACCELEROMETER,2.7174,5.1478,7.5349,4
1743667429758,2025-04-03 17:03:49.758,ACCELEROMETER,4.6831,5.9451,7.3720,4
1743667429770,2025-04-03 17:03:49.770,GYROSCOPE,0.0741,0.3726,-0.6064,36
1743667429810,2025-04-03 17:03:49.810,ACCELEROMETER,1.9944,5.8924,8.8469,52
1743667429816,2025-04-03 17:03:49.816,ACCELEROMETER,-1.6759,5.0999,9.4909,6
1743667429821,2025-04-03 17:03:49.821,ACCELEROMETER,-3.9145,4.8076,10.1948,5
1743667429830,2025-04-03 17:03:49.830,GYROSCOPE,0.9171,0.8919,0.4363,60
1743667429870,2025-04-03 17:03:49.870,ACCELEROMETER,-0.4214,6.3689,9.9171,49
1743667429875,2025-04-03 17:03:49.875,ACCELEROMETER,0.8356,5.7416,7.7695,5
1743667429880,2025-04-03 17:03:49.880,ACCELEROMETER,-1.4006,6.3785,5.8182,5
1743667429890,2025-04-03 17:03:49.890,GYROSCOPE,0.6556,0.1106,0.0154,60
1743667429931,2025-04-03 17:03:49.931,ACCELEROMETER,-1.4940,6.4000,4.8530,51
1743667429937,2025-04-03 17:03:49.937,ACCELEROMETER,-1.1133,6.4527,6.4694,6
1743667429942,2025-04-03 17:03:49.942,ACCELEROMETER,-1.5514,5.7081,5.9834,5
1743667429950,2025-04-03 17:03:49.950,GYROSCOPE,-0.0249,0.2358,1.0545,60
1743667429990,2025-04-03 17:03:49.990,ACCELEROMETER,-1.2330,6.0074,11.2602,48
1743667429997,2025-04-03 17:03:49.997,ACCELEROMETER,-0.2274,5.7344,9.6729,7
1743667430003,2025-04-03 17:03:50.003,ACCELEROMETER,0.8667,6.1821,6.5987,6
1743667430011,2025-04-03 17:03:50.011,GYROSCOPE,0.9268,-0.3561,0.2176,61
1743667430051,2025-04-03 17:03:50.051,ACCELEROMETER,1.5275,7.3361,4.2282,48
1743667430057,2025-04-03 17:03:50.057,ACCELEROMETER,1.5610,7.7384,3.7445,6
