Timestamp,ax,ay,az,gx,gy,gz
1743568971820,0.1825,6.5076,7.4106,0.002,0.0079,-0.0086
1743568971830,0.2127,6.4639,7.4623,0.002,0.0079,-0.0086
1743568971840,0.2127,6.4639,7.4623,0.0147,-0.005,-0.0095
1743568971850,0.2127,6.4639,7.4623,0.0147,-0.005,-0.0095
1743568971860,0.2127,6.4639,7.4623,0.0147,-0.005,-0.0095
1743568971870,0.2127,6.4639,7.4623,0.0147,-0.005,-0.0095
1743568971880,0.2127,6.4639,7.4623,0.0147,-0.005,-0.0095
1743568971890,0.2127,6.4639,7.4623,0.0147,-0.005,-0.0095
1743568971900,0.1741,6.5106,7.3648,-0.0201,-0.0089,-0.0146
1743568971910,0.1741,6.5106,7.3648,-0.0201,-0.0089,-0.0146
1743568971920,0.1741,6.5106,7.3648,-0.0201,-0.0089,-0.0146
1743568971930,0.1741,6.5106,7.3648,-0.0201,-0.0089,-0.0146
1743568971940,0.1741,6.5106,7.3648,-0.0201,-0.0089,-0.0146
1743568971950,0.1741,6.5106,7.3648,-0.0201,-0.0089,-0.0146
1743568971960,0.16,6.4409,7.6573,-0.0201,-0.0089,-0.0146
1743568971970,0.16,6.4409,7.6573,-0.0286,-0.0292,-0.0049
1743568971980,0.16,6.4409,7.6573,-0.0286,-0.0292,-0.0049
1743568971990,0.16,6.4409,7.6573,-0.0286,-0.0292,-0.0049
1743568972000,0.16,6.4409,7.6573,-0.0286,-0.0292,-0.0049
1743568972010,0.16,6.4409,7.6573,-0.0286,-0.0292,-0.0049
1743568972020,0.16,6.4409,7.6573,-0.0286,-0.0292,-0.0049
1743568972030,0.192,6.4618,7.5676,-0.0286,-0.0292,-0.0049
1743568972040,0.192,6.4618,7.5676,0.0279,0.0111,0.0018
1743568972050,0.192,6.4618,7.5676,0.0279,0.0111,0.0018
1743568972060,0.192,6.4618,7.5676,0.0279,0.0111,0.0018
1743568972070,0.192,6.4618,7.5676,0.0279,0.0111,0.0018
1743568972080,0.192,6.4618,7.5676,0.0279,0.0111,0.0018
1743568972090,0.192,6.4618,7.5676,0.0279,0.0111,0.0018
1743568972100,0.2551,6.5213,7.2302,0.0037,-0.0063,0.0073
1743568972110,0.2551,6.5213,7.2302,0.0037,-0.0063,0.0073
1743568972120,0.2551,6.5213,7.2302,0.0037,-0.0063,0.0073
1743568972130,0.2551,6.5213,7.2302,0.0037,-0.0063,0.0073
1743568972140,0.2551,6.5213,7.2302,0.0037,-0.0063,0.0073
1743568972150,0.2551,6.5213,7.2302,0.0037,-0.0063,0.0073
1743568972160,0.2339,6.4777,7.5206,0.0037,-0.0063,0.0073
1743568972170,0.2339,6.4777,7.5206,-0.0706,0.0146,-0.0031
1743568972180,0.2339,6.4777,7.5206,-0.0706,0.0146,-0.0031
1743568972190,0.2339,6.4777,7.5206,-0.0706,0.0146,-0.0031
1743568972200,0.2339,6.4777,7.5206,-0.0706,0.0146,-0.0031
1743568972210,0.2339,6.4777,7.5206,-0.0706,0.0146,-0.0031
1743568972220,0.2339,6.4777,7.5206,-0.0706,0.0146,-0.0031
1743568972230,0.1935,6.4424,7.6926,-0.0706,0.0146,-0.0031
1743568972240,0.1935,6.4424,7.6926,0.0018,-0.005,-0.002
1743568972250,0.1935,6.4424,7.6926,0.0018,-0.005,-0.002
1743568972260,0.1935,6.4424,7.6926,0.0018,-0.005,-0.002
1743568972270,0.1935,6.4424,7.6926,0.0018,-0.005,-0.002
1743568972280,0.1935,6.4424,7.6926,0.0018,-0.005,-0.002
1743568972290,0.1935,6.4424,7.6926,0.0018,-0.005,-0.002
1743568972300,0.1956,6.4555,7.4901,0.0082,0.0066,0.0082
1743568972310,0.1956,6.4555,7.4901,0.0082,0.0066,0.0082
1743568972320,0.1956,6.4555,7.4901,0.0082,0.0066,0.0082
1743568972330,0.1956,6.4555,7.4901,0.0082,0.0066,0.0082
1743568972340,0.1956,6.4555,7.4901,0.0082,0.0066,0.0082
1743568972350,0.1956,6.4555,7.4901,0.0082,0.0066,0.0082
1743568972360,0.2186,6.4681,7.4689,0.0082,0.0066,0.0082
1743568972370,0.2186,6.4681,7.4689,-0.006,0.0013,0.0067
1743568972380,0.2186,6.4681,7.4689,-0.006,0.0013,0.0067
