Timestamp,TimeString,SensorType,X,Y,Z,Interval(ms)
1743569065608,2025-04-02 13:44:25.608,ACCELEROMETER,0.2004,6.4953,6.5767,66
1743569065609,2025-04-02 13:44:25.609,ACCELEROMETER,0.5731,6.3057,8.4580,1
1743569065610,2025-04-02 13:44:25.610,ACCELEROMETER,0.8351,6.2291,9.2782,1
1743569065633,2025-04-02 13:44:25.633,GYROSCOPE,-0.0232,0.0373,0.0248,66
1743569065673,2025-04-02 13:44:25.673,ACCELEROMETER,0.7460,6.1633,8.6459,63
1743569065675,2025-04-02 13:44:25.675,ACCELEROMETER,0.5312,6.2530,7.6193,2
1743569065676,2025-04-02 13:44:25.676,ACCELEROMETER,0.4983,6.3523,6.9858,1
1743569065677,2025-04-02 13:44:25.677,ACCELEROMETER,0.5145,6.3912,7.0152,1
1743569065701,2025-04-02 13:44:25.701,GYROSCOPE,-0.0008,0.0449,0.0392,68
1743569065738,2025-04-02 13:44:25.738,ACCELEROMETER,0.6574,6.3571,7.5153,61
1743569065740,2025-04-02 13:44:25.740,ACCELEROMETER,0.7699,6.2985,7.8497,2
1743569065741,2025-04-02 13:44:25.741,ACCELEROMETER,0.8064,6.3111,7.7803,1
1743569065768,2025-04-02 13:44:25.768,GYROSCOPE,0.0381,-0.0347,0.0078,67
1743569065806,2025-04-02 13:44:25.806,ACCELEROMETER,0.7753,6.3864,7.4172,65
1743569065808,2025-04-02 13:44:25.808,ACCELEROMETER,0.7005,6.4540,7.2221,2
1743569065809,2025-04-02 13:44:25.809,ACCELEROMETER,0.6879,6.4654,7.3549,1
1743569065810,2025-04-02 13:44:25.810,ACCELEROMETER,0.7340,6.3829,7.6828,1
1743569065834,2025-04-02 13:44:25.834,GYROSCOPE,-0.0339,-0.0018,0.0051,66
1743569065872,2025-04-02 13:44:25.872,ACCELEROMETER,0.7555,6.2847,7.9155,62
1743569065877,2025-04-02 13:44:25.877,ACCELEROMETER,0.6951,6.2530,7.8772,5
1743569065879,2025-04-02 13:44:25.879,ACCELEROMETER,0.6772,6.2925,7.6744,2
1743569065903,2025-04-02 13:44:25.903,GYROSCOPE,0.0408,-0.0283,-0.0078,69
1743569065938,2025-04-02 13:44:25.938,ACCELEROMETER,0.6347,6.3404,7.5691,59
1743569065939,2025-04-02 13:44:25.939,ACCELEROMETER,0.5904,6.3302,7.6702,1
1743569065940,2025-04-02 13:44:25.940,ACCELEROMETER,0.6006,6.3392,7.7815,1
1743569065941,2025-04-02 13:44:25.941,ACCELEROMETER,0.6921,6.3194,7.6875,1
1743569065967,2025-04-02 13:44:25.967,GYROSCOPE,0.0945,-0.0918,0.0044,64
1743569066007,2025-04-02 13:44:26.007,ACCELEROMETER,0.7370,6.3787,7.5547,66
1743569066010,2025-04-02 13:44:26.010,ACCELEROMETER,0.7519,6.4373,7.5254,3
1743569066011,2025-04-02 13:44:26.011,ACCELEROMETER,0.7143,6.4235,7.5511,1
1743569066035,2025-04-02 13:44:26.035,GYROSCOPE,0.1106,-0.0928,0.0210,68
1743569066074,2025-04-02 13:44:26.074,ACCELEROMETER,0.7406,6.4187,7.5033,63
1743569066077,2025-04-02 13:44:26.077,ACCELEROMETER,0.7651,6.4433,7.4554,3
1743569066078,2025-04-02 13:44:26.078,ACCELEROMETER,0.8530,6.4487,7.5912,1
1743569066079,2025-04-02 13:44:26.079,ACCELEROMETER,0.8267,6.4325,7.7133,1
1743569066101,2025-04-02 13:44:26.101,GYROSCOPE,0.1396,-0.0846,0.0342,66
1743569066140,2025-04-02 13:44:26.140,ACCELEROMETER,0.7753,6.4696,7.5476,61
1743569066143,2025-04-02 13:44:26.143,ACCELEROMETER,0.8297,6.5928,7.1976,3
1743569066144,2025-04-02 13:44:26.144,ACCELEROMETER,0.9374,6.6754,7.0331,1
