Timestamp,TimeString,SensorType,X,Y,Z,Interval(ms)
1743666474190,2025-04-03 16:47:54.190,ACCELEROMETER,-2.3296,8.4590,6.3569,53
1743666474194,2025-04-03 16:47:54.194,ACCELEROMETER,-1.3671,8.1478,6.5556,4
1743666474198,2025-04-03 16:47:54.198,ACCELEROMETER,-0.5650,8.1358,6.9650,4
1743666474204,2025-04-03 16:47:54.204,GYROSCOPE,0.4505,-1.3634,0.0738,62
1743666474249,2025-04-03 16:47:54.249,ACCELEROMETER,-0.5195,8.0927,6.7591,51
1743666474254,2025-04-03 16:47:54.254,ACCELEROMETER,-1.1516,7.9706,5.6746,5
1743666474257,2025-04-03 16:47:54.257,ACCELEROMETER,-1.5706,8.2244,4.2210,3
1743666474261,2025-04-03 16:47:54.261,GYROSCOPE,1.3564,-1.2333,-0.4656,57
1743666474308,2025-04-03 16:47:54.308,ACCELEROMETER,-3.1484,8.7631,3.2992,51
1743666474314,2025-04-03 16:47:54.314,ACCELEROMETER,-3.5386,8.8612,3.7014,6
1743666474318,2025-04-03 16:47:54.318,ACCELEROMETER,-3.0837,8.7032,3.0765,4
1743666474322,2025-04-03 16:47:54.322,GYROSCOPE,0.4853,-0.1129,0.1533,61
1743666474367,2025-04-03 16:47:54.367,ACCELEROMETER,-1.5706,8.9067,2.3080,49
1743666474372,2025-04-03 16:47:54.372,ACCELEROMETER,0.2658,8.2866,2.7773,5
1743666474377,2025-04-03 16:47:54.377,ACCELEROMETER,-0.0622,8.6553,4.9850,5
1743666474383,2025-04-03 16:47:54.383,GYROSCOPE,-0.2330,0.0679,-0.0764,61
1743666474427,2025-04-03 16:47:54.427,ACCELEROMETER,-0.9912,8.4662,5.4447,50
1743666474434,2025-04-03 16:47:54.434,ACCELEROMETER,-1.9201,8.6625,4.9347,7
1743666474440,2025-04-03 16:47:54.440,ACCELEROMETER,-2.5450,8.6505,4.3072,6
1743666474446,2025-04-03 16:47:54.446,GYROSCOPE,0.1506,0.4509,-0.2426,63
1743666474489,2025-04-03 16:47:54.489,ACCELEROMETER,-3.2944,8.8876,4.1851,49
1743666474496,2025-04-03 16:47:54.496,ACCELEROMETER,-1.2641,8.9474,4.1731,7
1743666474502,2025-04-03 16:47:54.502,ACCELEROMETER,-0.8356,8.4734,3.7589,6
1743666474507,2025-04-03 16:47:54.507,GYROSCOPE,0.1017,0.0709,-0.1070,61
1743666474548,2025-04-03 16:47:54.548,ACCELEROMETER,-2.4325,8.7511,3.9576,46
1743666474555,2025-04-03 16:47:54.555,ACCELEROMETER,-2.3128,8.9594,4.2952,7
1743666474559,2025-04-03 16:47:54.559,ACCELEROMETER,-1.5586,8.5739,4.0270,4
1743666474564,2025-04-03 16:47:54.564,GYROSCOPE,-0.0626,0.1797,-0.0300,57
1743666474608,2025-04-03 16:47:54.608,ACCELEROMETER,-1.5203,8.6936,3.9648,49
1743666474614,2025-04-03 16:47:54.614,ACCELEROMETER,-1.8962,8.8134,4.1492,6
1743666474619,2025-04-03 16:47:54.619,ACCELEROMETER,-2.3248,8.7966,4.2617,5
1743666474624,2025-04-03 16:47:54.624,GYROSCOPE,-0.0901,0.1345,-0.0685,60
1743666474668,2025-04-03 16:47:54.668,ACCELEROMETER,-1.7238,8.6218,4.3646,49
1743666474675,2025-04-03 16:47:54.675,ACCELEROMETER,-1.6257,8.6338,4.3072,7
1743666474680,2025-04-03 16:47:54.680,ACCELEROMETER,-2.0901,8.9690,4.2713,5
1743666474685,2025-04-03 16:47:54.685,GYROSCOPE,-0.0046,0.2200,-0.0868,61
1743666474730,2025-04-03 16:47:54.730,ACCELEROMETER,-1.9106,8.8804,4.2856,50
