Timestamp,TimeString,SensorType,X,Y,Z,Interval(ms)
1743666426381,2025-04-03 16:47:06.381,GYROSCOPE,-1.3198,0.5395,-0.6934,70
1743666426392,2025-04-03 16:47:06.392,ACCELEROMETER,-0.9673,8.3872,3.0574,50
1743666426397,2025-04-03 16:47:06.397,ACCELEROMETER,-1.4485,8.3345,3.3232,5
1743666426402,2025-04-03 16:47:06.402,ACCELEROMETER,-1.8052,8.3656,5.7320,5
1743666426431,2025-04-03 16:47:06.431,GYROSCOPE,-1.8531,-0.7739,-2.0966,50
1743666426451,2025-04-03 16:47:06.451,ACCELEROMETER,-0.0359,8.8948,6.2803,49
1743666426457,2025-04-03 16:47:06.457,ACCELEROMETER,-0.2490,7.4558,5.5692,6
1743666426462,2025-04-03 16:47:06.462,ACCELEROMETER,-1.8842,6.0481,7.5061,5
1743666426491,2025-04-03 16:47:06.491,GYROSCOPE,-1.3155,-3.2467,-1.9774,60
1743666426518,2025-04-03 16:47:06.518,ACCELEROMETER,-1.7669,6.1726,8.4901,56
1743666426525,2025-04-03 16:47:06.525,ACCELEROMETER,-1.1899,4.4412,6.3210,7
1743666426530,2025-04-03 16:47:06.530,ACCELEROMETER,-1.6209,3.0311,5.3777,5
1743666426552,2025-04-03 16:47:06.552,GYROSCOPE,0.3296,-1.6138,-1.2078,61
1743666426571,2025-04-03 16:47:06.571,ACCELEROMETER,-3.3519,4.2066,10.5922,41
1743666426578,2025-04-03 16:47:06.578,ACCELEROMETER,-2.8299,6.4934,13.3097,7
1743666426583,2025-04-03 16:47:06.583,ACCELEROMETER,-2.9880,3.8714,10.2283,5
1743666426611,2025-04-03 16:47:06.611,GYROSCOPE,2.0363,-0.8851,0.3591,59
1743666426631,2025-04-03 16:47:06.631,ACCELEROMETER,-3.6895,4.4724,9.6801,48
1743666426638,2025-04-03 16:47:06.638,ACCELEROMETER,-4.0558,5.6027,6.5149,7
1743666426643,2025-04-03 16:47:06.643,ACCELEROMETER,-2.4756,6.0313,7.5133,5
1743666426671,2025-04-03 16:47:06.671,GYROSCOPE,1.1237,0.1174,0.6059,60
1743666426691,2025-04-03 16:47:06.691,ACCELEROMETER,-2.5714,6.0337,5.4280,48
1743666426698,2025-04-03 16:47:06.698,ACCELEROMETER,-2.4014,6.8717,4.1683,7
1743666426703,2025-04-03 16:47:06.703,ACCELEROMETER,-0.5219,7.4582,5.9331,5
1743666426732,2025-04-03 16:47:06.732,GYROSCOPE,0.5153,1.0227,0.3438,61
1743666426751,2025-04-03 16:47:06.751,ACCELEROMETER,0.3543,6.8549,7.5229,48
1743666426758,2025-04-03 16:47:06.758,ACCELEROMETER,0.5818,7.0153,7.8940,7
1743666426765,2025-04-03 16:47:06.765,ACCELEROMETER,0.5962,6.7017,4.8554,7
