Timestamp,ax,ay,az,gx,gy,gz
1743568980110,0.6514,6.6123,7.5867,0.0338,-0.024,-0.0258
1743568980120,0.6514,6.6123,7.5867,0.0338,-0.024,-0.0258
1743568980130,0.6514,6.6123,7.5867,0.0338,-0.024,-0.0258
1743568980140,0.6514,6.6123,7.5867,0.0338,-0.024,-0.0258
1743568980150,0.6514,6.6123,7.5867,0.0338,-0.024,-0.0258
1743568980160,0.6514,6.6123,7.5867,0.0338,-0.024,-0.0258
1743568980170,0.6514,6.6123,7.5867,0.0338,-0.024,-0.0258
1743568980180,0.6652,6.5752,7.2332,-0.0281,0.0363,0.0131
1743568980190,0.6652,6.5752,7.2332,-0.0281,0.0363,0.0131
1743568980200,0.6652,6.5752,7.2332,-0.0281,0.0363,0.0131
1743568980210,0.6652,6.5752,7.2332,-0.0281,0.0363,0.0131
1743568980220,0.6652,6.5752,7.2332,-0.0281,0.0363,0.0131
1743568980230,0.6652,6.5752,7.2332,-0.0281,0.0363,0.0131
1743568980240,0.6921,6.6275,7.2849,-0.0281,0.0363,0.0131
1743568980250,0.6921,6.6275,7.2849,0.0075,-0.0189,-0.012
1743568980260,0.6921,6.6275,7.2849,0.0075,-0.0189,-0.012
1743568980270,0.6921,6.6275,7.2849,0.0075,-0.0189,-0.012
1743568980280,0.6921,6.6275,7.2849,0.0075,-0.0189,-0.012
1743568980290,0.6921,6.6275,7.2849,0.0075,-0.0189,-0.012
1743568980300,0.6921,6.6275,7.2849,0.0075,-0.0189,-0.012
1743568980310,0.6978,6.6015,7.4662,-0.018,-0.0047,-0.0011
1743568980320,0.6978,6.6015,7.4662,-0.018,-0.0047,-0.0011
1743568980330,0.6978,6.6015,7.4662,-0.018,-0.0047,-0.0011
1743568980340,0.6978,6.6015,7.4662,-0.018,-0.0047,-0.0011
1743568980350,0.6978,6.6015,7.4662,-0.018,-0.0047,-0.0011
1743568980360,0.6978,6.6015,7.4662,-0.018,-0.0047,-0.0011
1743568980370,0.6978,6.6015,7.4662,-0.018,-0.0047,-0.0011
1743568980380,0.6302,6.6242,7.4231,0.0019,-0.0313,-0.0045
1743568980390,0.6302,6.6242,7.4231,0.0019,-0.0313,-0.0045
1743568980400,0.6302,6.6242,7.4231,0.0019,-0.0313,-0.0045
1743568980410,0.6302,6.6242,7.4231,0.0019,-0.0313,-0.0045
1743568980420,0.6302,6.6242,7.4231,0.0019,-0.0313,-0.0045
1743568980430,0.6302,6.6242,7.4231,0.0019,-0.0313,-0.0045
1743568980440,0.6302,6.6242,7.4231,0.0368,-0.071,-0.0331
1743568980450,0.7944,6.644,7.2661,0.0368,-0.071,-0.0331
1743568980460,0.7944,6.644,7.2661,0.0368,-0.071,-0.0331
1743568980470,0.7944,6.644,7.2661,0.0368,-0.071,-0.0331
1743568980480,0.7944,6.644,7.2661,0.0368,-0.071,-0.0331
1743568980490,0.7944,6.644,7.2661,0.0368,-0.071,-0.0331
1743568980500,0.7944,6.644,7.2661,0.0368,-0.071,-0.0331
1743568980510,0.7481,6.6655,7.1686,-0.0118,-0.0717,-0.0492
1743568980520,0.7481,6.6655,7.1686,-0.0118,-0.0717,-0.0492
1743568980530,0.7481,6.6655,7.1686,-0.0118,-0.0717,-0.0492
1743568980540,0.7481,6.6655,7.1686,-0.0118,-0.0717,-0.0492
1743568980550,0.7481,6.6655,7.1686,-0.0118,-0.0717,-0.0492
1743568980560,0.7481,6.6655,7.1686,-0.0118,-0.0717,-0.0492
1743568980570,0.7481,6.6655,7.1686,-0.0118,-0.0717,-0.0492
1743568980580,0.7172,6.6266,7.378,-0.0577,0.0271,-0.0157
1743568980590,0.7172,6.6266,7.378,-0.0577,0.0271,-0.0157
1743568980600,0.7172,6.6266,7.378,-0.0577,0.0271,-0.0157
1743568980610,0.7172,6.6266,7.378,-0.0577,0.0271,-0.0157
1743568980620,0.7172,6.6266,7.378,-0.0577,0.0271,-0.0157
1743568980630,0.7172,6.6266,7.378,-0.0577,0.0271,-0.0157
1743568980640,0.6921,6.5964,7.4007,-0.0577,0.0271,-0.0157
1743568980650,0.6921,6.5964,7.4007,-0.0175,0.0002,-0.0157
1743568980660,0.6921,6.5964,7.4007,-0.0175,0.0002,-0.0157
1743568980670,0.6921,6.5964,7.4007,-0.0175,0.0002,-0.0157
1743568980680,0.6921,6.5964,7.4007,-0.0175,0.0002,-0.0157
1743568980690,0.6921,6.5964,7.4007,-0.0175,0.0002,-0.0157
1743568980700,0.6921,6.5964,7.4007,-0.0175,0.0002,-0.0157
1743568980710,0.6834,6.6072,7.3995,-0.0132,0.0221,0.0052
1743568980720,0.6834,6.6072,7.3995,-0.0132,0.0221,0.0052
1743568980730,0.6834,6.6072,7.3995,-0.0132,0.0221,0.0052
1743568980740,0.6834,6.6072,7.3995,-0.0132,0.0221,0.0052
1743568980750,0.6834,6.6072,7.3995,-0.0132,0.0221,0.0052
1743568980760,0.6834,6.6072,7.3995,-0.0132,0.0221,0.0052
1743568980770,0.6834,6.6072,7.3995,-0.0132,0.0221,0.0052
1743568980780,0.708,6.5949,7.2933,-0.0101,0.0062,0.0108
1743568980790,0.708,6.5949,7.2933,-0.0101,0.0062,0.0108
1743568980800,0.708,6.5949,7.2933,-0.0101,0.0062,0.0108
1743568980810,0.708,6.5949,7.2933,-0.0101,0.0062,0.0108
1743568980820,0.708,6.5949,7.2933,-0.0101,0.0062,0.0108
1743568980830,0.708,6.5949,7.2933,-0.0101,0.0062,0.0108
1743568980840,0.708,6.5949,7.2933,-0.0101,0.0062,0.0108
1743568980850,0.7905,6.6,7.4839,-0.0305,0.0197,-0.0111
1743568980860,0.7905,6.6,7.4839,-0.0305,0.0197,-0.0111
1743568980870,0.7905,6.6,7.4839,-0.0305,0.0197,-0.0111
1743568980880,0.7905,6.6,7.4839,-0.0305,0.0197,-0.0111
