Timestamp,TimeString,SensorType,X,Y,Z,Interval(ms)
1743666561795,2025-04-03 16:49:21.795,GYROSCOPE,-0.2746,0.3147,-0.0092,70
1743666561806,2025-04-03 16:49:21.806,ACCELEROMETER,-0.2658,8.9690,2.8228,50
1743666561811,2025-04-03 16:49:21.811,ACCELEROMETER,-1.0511,9.5340,2.7677,5
1743666561815,2025-04-03 16:49:21.815,ACCELEROMETER,-1.2234,9.4933,3.5745,4
1743666561845,2025-04-03 16:49:21.845,GYROSCOPE,-0.4768,0.2200,0.1807,50
1743666561864,2025-04-03 16:49:21.864,ACCELEROMETER,-0.3519,9.1007,4.1037,49
1743666561869,2025-04-03 16:49:21.869,ACCELEROMETER,0.1437,8.8277,4.3359,5
1743666561873,2025-04-03 16:49:21.873,ACCELEROMETER,-0.5148,8.6051,5.0688,4
1743666561904,2025-04-03 16:49:21.904,GYROSCOPE,0.1139,0.1125,0.2528,59
1743666561931,2025-04-03 16:49:21.931,ACCELEROMETER,-0.9361,8.7942,5.2675,58
1743666561935,2025-04-03 16:49:21.935,ACCELEROMETER,-0.2466,8.4016,4.6064,4
1743666561939,2025-04-03 16:49:21.939,ACCELEROMETER,-0.0670,8.7176,4.4173,4
1743666561964,2025-04-03 16:49:21.964,GYROSCOPE,0.0816,0.5517,-0.0538,60
1743666561984,2025-04-03 16:49:21.984,ACCELEROMETER,0.9266,8.9163,4.4939,45
1743666561990,2025-04-03 16:49:21.990,ACCELEROMETER,0.5722,8.9522,3.6176,6
1743666561995,2025-04-03 16:49:21.995,ACCELEROMETER,-0.8619,8.7487,4.5657,5
1743666562024,2025-04-03 16:49:22.024,GYROSCOPE,0.3668,-0.6725,0.0268,60
1743666562044,2025-04-03 16:49:22.044,ACCELEROMETER,0.0934,8.8924,5.0999,49
1743666562050,2025-04-03 16:49:22.050,ACCELEROMETER,0.0383,9.2730,4.5346,6
1743666562055,2025-04-03 16:49:22.055,ACCELEROMETER,-0.9816,8.9355,3.0646,5
1743666562084,2025-04-03 16:49:22.084,GYROSCOPE,-0.2874,0.4845,-0.0489,60
1743666562104,2025-04-03 16:49:22.104,ACCELEROMETER,0.3232,8.7032,3.0047,49
1743666562110,2025-04-03 16:49:22.110,ACCELEROMETER,-0.5171,9.1629,4.0390,6
1743666562115,2025-04-03 16:49:22.115,ACCELEROMETER,-0.7111,9.2922,4.5586,5
1743666562144,2025-04-03 16:49:22.144,GYROSCOPE,0.2795,-0.3426,0.0848,60
